"","Query","Target","Percent_ID","Ali_len","E_val","bitscore","Hit_name_long"
"81","repo","phaw_30_tra_m.010393",37.93,58,7e-07,52,"phaw_30_tra_m.010393"
"82","repo","phaw_30_tra_m.014981",43.08,65,7e-07,50.8,"phaw_30_tra_m.014981"
"83","repo","phaw_30_tra_m.011620",42.11,57,1e-06,50.8,"phaw_30_tra_m.011620"
"84","repo","phaw_30_aug_m.027276",47.92,48,2e-06,47,"phaw_30_aug_m.027276"
"85","repo","phaw_30_tra_m.012186",40.54,74,3e-06,50.1,"phaw_30_tra_m.012186"
"86","repo","phaw_30_aug_m.028166",71.43,28,7e-06,45.4,"phaw_30_aug_m.028166"
"87","repo","phaw_30_aug_m.028115",48.72,39,8e-06,45.4,"phaw_30_aug_m.028115"
"88","repo","phaw_30_tra_m.018339",42.11,57,1e-05,47.4,"phaw_30_tra_m.018339"
"89","repo","phaw_30_tra_m.025480",35.82,67,2e-05,46.6,"phaw_30_tra_m.025480"
"90","repo","phaw_30_aug_m.028105",40.74,54,4e-05,45.4,"phaw_30_aug_m.028105"
"91","repo","phaw_30_tra_m.003587",34.78,69,1e-04,44.7,"phaw_30_tra_m.003587"
"92","repo","phaw_30_tra_m.021524",28.95,76,1e-04,45.1,"phaw_30_tra_m.021524"
"93","repo","phaw_30_tra_m.021524",33.87,62,0.003,40.8,"phaw_30_tra_m.021524"
"94","repo","phaw_30_tra_m.021524",27.12,59,0.062,36.2,"phaw_30_tra_m.021524"
"95","repo","phaw_30_tra_m.004798",31.94,72,3e-04,43.1,"phaw_30_tra_m.004798"
"96","repo","phaw_30_aug_m.028013",32.39,71,5e-04,40,"phaw_30_aug_m.028013"
"97","repo","phaw_30_tra_m.013515",39.13,46,8e-04,39.7,"phaw_30_tra_m.013515"
"98","repo","phaw_30_tra_m.022696",33.77,77,8e-04,42.4,"phaw_30_tra_m.022696"
"99","repo","phaw_30_tra_m.005430",43.48,46,9e-04,41.6,"phaw_30_tra_m.005430"
"100","repo","phaw_30_tra_m.020904",31.08,74,0.002,40.8,"phaw_30_tra_m.020904"
"101","repo","phaw_30_aug_m.027905",38.64,44,0.003,37.4,"phaw_30_aug_m.027905"
"102","repo","phaw_30_tra_m.024925",28.57,91,0.003,39.7,"phaw_30_tra_m.024925"
"103","repo","phaw_30_tra_m.010642",37.04,54,0.004,39.7,"phaw_30_tra_m.010642"
"104","repo","phaw_30_tra_m.022027",26.75,157,0.005,39.7,"phaw_30_tra_m.022027"
"105","repo","phaw_30_aug_m.028284",40.38,52,0.013,35.4,"phaw_30_aug_m.028284"
"106","repo","phaw_30_aug_m.027698",45.24,42,0.056,33.5,"phaw_30_aug_m.027698"
"107","repo","phaw_30_tra_m.023126",27.27,77,0.18,34.7,"phaw_30_tra_m.023126"
"108","repo","phaw_30_tra_m.018595",33.33,57,0.21,34.3,"phaw_30_tra_m.018595"
"109","repo","phaw_30_tra_m.019762",33.96,53,0.25,33.5,"phaw_30_tra_m.019762"
"110","repo","phaw_30_tra_m.019860",29.21,89,0.28,33.9,"phaw_30_tra_m.019860"
"111","repo","phaw_30_tra_m.010457",33.33,36,0.36,33.5,"phaw_30_tra_m.010457"
"112","repo","phaw_30_aug_m.027568",38.78,49,0.52,30.4,"phaw_30_aug_m.027568"
"113","repo","phaw_30_tra_m.023125",31.08,74,0.62,32.7,"phaw_30_tra_m.023125"
"114","repo","phaw_30_tra_m.001662",61.11,18,0.96,31.2,"phaw_30_tra_m.001662"
"115","repo","phaw_30_tra_m.006380",26.97,89,1,32,"phaw_30_tra_m.006380"
"116","repo","phaw_30_aug_m.027237",34.69,49,1.2,29.3,"phaw_30_aug_m.027237"
"117","repo","phaw_30_aug_m.028398",27.14,70,1.5,30.4,"phaw_30_aug_m.028398"
"118","repo","phaw_30_tra_m.019826",61.54,13,1.9,29.3,"phaw_30_tra_m.019826"
"119","repo","phaw_30_tra_m.001013",23.4,94,1.9,30.8,"phaw_30_tra_m.001013"
"120","repo","phaw_30_tra_m.023412",23.76,101,2.4,31.2,"phaw_30_tra_m.023412"
"121","repo","phaw_30_tra_m.001591",30.19,53,7.4,29.3,"phaw_30_tra_m.001591"
"122","repo","phaw_30_tra_m.014067",25.66,152,9.9,28.9,"phaw_30_tra_m.014067"
"123","gcm","phaw_30_tra_m.010967",65.41,159,2e-72,246,"phaw_30_tra_m.010967"
"124","gcm","phaw_30_aug_m.028241",24.24,99,1.3,30.8,"phaw_30_aug_m.028241"
"125","gcm","phaw_30_aug_m.027464",57.89,19,1.6,29.3,"phaw_30_aug_m.027464"
"126","gcm","phaw_30_tra_m.019654",31.91,47,2.1,30.8,"phaw_30_tra_m.019654"
"127","gcm","phaw_30_tra_m.018082",29.87,77,2.6,30.4,"phaw_30_tra_m.018082"
"128","gcm","phaw_30_aug_m.028040",57.89,19,2.7,28.1,"phaw_30_aug_m.028040"
"129","gcm","phaw_30_tra_m.023314",26.6,94,2.8,30.4,"phaw_30_tra_m.023314"
"130","gcm","phaw_30_tra_m.018081",30.26,76,3,30,"phaw_30_tra_m.018081"
"131","gcm","phaw_30_tra_m.024983",26.72,116,8.4,28.9,"phaw_30_tra_m.024983"
"132","gcm","phaw_30_tra_m.010104",21.43,140,9.3,28.9,"phaw_30_tra_m.010104"
"133","elav","phaw_30_tra_m.004127",54.85,392,3e-132,392,"phaw_30_tra_m.004127"
"134","elav","phaw_30_tra_m.014265",41.58,190,1e-42,156,"phaw_30_tra_m.014265"
"135","elav","phaw_30_tra_m.014265",29.76,84,0.002,40.4,"phaw_30_tra_m.014265"
"136","elav","phaw_30_tra_m.014265",32.26,62,0.022,36.6,"phaw_30_tra_m.014265"
"137","elav","phaw_30_tra_m.014265",25.58,86,1.1,31.6,"phaw_30_tra_m.014265"
"138","elav","phaw_30_tra_m.010816",29.46,224,6e-20,92,"phaw_30_tra_m.010816"
"139","elav","phaw_30_tra_m.010816",41.67,60,4e-08,55.5,"phaw_30_tra_m.010816"
"140","elav","phaw_30_tra_m.023738",28.57,224,2e-19,91.3,"phaw_30_tra_m.023738"
"141","elav","phaw_30_tra_m.023738",43.53,85,8e-11,63.9,"phaw_30_tra_m.023738"
"142","elav","phaw_30_tra_m.023738",33.33,69,4e-05,45.8,"phaw_30_tra_m.023738"
"143","elav","phaw_30_tra_m.023738",28.57,91,6e-05,45.4,"phaw_30_tra_m.023738"
"144","elav","phaw_30_tra_m.023738",28.12,64,0.011,38.1,"phaw_30_tra_m.023738"
"145","elav","phaw_30_tra_m.023738",28,50,0.5,32.7,"phaw_30_tra_m.023738"
"146","elav","phaw_30_tra_m.022057",30.94,223,7e-18,86.7,"phaw_30_tra_m.022057"
"147","elav","phaw_30_tra_m.022057",27.12,118,7e-05,45.4,"phaw_30_tra_m.022057"
"148","elav","phaw_30_tra_m.022057",26.74,86,0.008,38.5,"phaw_30_tra_m.022057"
"149","elav","phaw_30_tra_m.022057",30.14,73,0.058,35.8,"phaw_30_tra_m.022057"
"150","elav","phaw_30_tra_m.022057",30.56,72,0.22,33.9,"phaw_30_tra_m.022057"
"151","elav","phaw_30_tra_m.022057",30.38,79,0.27,33.5,"phaw_30_tra_m.022057"
"152","elav","phaw_30_tra_m.022057",27.27,66,0.31,33.5,"phaw_30_tra_m.022057"
"153","elav","phaw_30_tra_m.000214",30.22,182,8e-18,86.3,"phaw_30_tra_m.000214"
"154","elav","phaw_30_tra_m.000214",28.33,180,5e-16,80.5,"phaw_30_tra_m.000214"
"155","elav","phaw_30_tra_m.000214",25.29,170,3e-11,65.5,"phaw_30_tra_m.000214"
"156","elav","phaw_30_tra_m.000214",33.33,72,2e-05,47,"phaw_30_tra_m.000214"
"157","elav","phaw_30_tra_m.000214",29.17,72,1e-04,44.7,"phaw_30_tra_m.000214"
"158","elav","phaw_30_tra_m.000214",28.72,94,2e-04,43.9,"phaw_30_tra_m.000214"
"159","elav","phaw_30_tra_m.000214",28.38,74,0.001,41.2,"phaw_30_tra_m.000214"
"160","elav","phaw_30_tra_m.007112",23.96,192,2e-15,77.8,"phaw_30_tra_m.007112"
"161","elav","phaw_30_tra_m.007112",41.25,80,3e-14,73.9,"phaw_30_tra_m.007112"
"162","elav","phaw_30_tra_m.007112",19.61,102,0.015,37.4,"phaw_30_tra_m.007112"
"163","elav","phaw_30_tra_m.001047",27.27,209,2e-14,74.7,"phaw_30_tra_m.001047"
"164","elav","phaw_30_tra_m.001047",26.86,175,4e-12,67.8,"phaw_30_tra_m.001047"
"165","elav","phaw_30_tra_m.001047",33.75,80,7e-11,63.9,"phaw_30_tra_m.001047"
"166","elav","phaw_30_tra_m.000362",46.51,86,2e-13,72,"phaw_30_tra_m.000362"
"167","elav","phaw_30_tra_m.000362",37.31,67,1e-07,53.1,"phaw_30_tra_m.000362"
"168","elav","phaw_30_tra_m.000362",33.65,104,2e-07,53.1,"phaw_30_tra_m.000362"
"169","elav","phaw_30_tra_m.000362",28.26,92,7e-07,50.8,"phaw_30_tra_m.000362"
"170","elav","phaw_30_tra_m.000362",30.59,85,6e-04,42,"phaw_30_tra_m.000362"
"171","elav","phaw_30_tra_m.000362",32.26,62,0.001,40.4,"phaw_30_tra_m.000362"
"172","elav","phaw_30_tra_m.023621",37.97,79,5e-12,67.8,"phaw_30_tra_m.023621"
"173","elav","phaw_30_tra_m.023621",27.27,165,6e-11,64.3,"phaw_30_tra_m.023621"
"174","elav","phaw_30_tra_m.023621",31.51,73,2e-05,46.6,"phaw_30_tra_m.023621"
"175","elav","phaw_30_tra_m.023621",26.67,90,7e-04,42,"phaw_30_tra_m.023621"
"176","elav","phaw_30_aug_m.028348",31.76,85,5e-10,59.3,"phaw_30_aug_m.028348"
"177","elav","phaw_30_aug_m.028348",30.08,133,2e-09,57,"phaw_30_aug_m.028348"
"178","elav","phaw_30_aug_m.028348",28.12,160,3e-06,48.1,"phaw_30_aug_m.028348"
"179","elav","phaw_30_tra_m.006852",25.16,159,7e-10,60.8,"phaw_30_tra_m.006852"
"180","elav","phaw_30_tra_m.006852",34.48,58,6e-06,48.5,"phaw_30_tra_m.006852"
"181","elav","phaw_30_tra_m.006852",36.84,57,0.001,41.6,"phaw_30_tra_m.006852"
"182","elav","phaw_30_tra_m.006852",25.88,85,0.005,38.9,"phaw_30_tra_m.006852"
"183","elav","phaw_30_tra_m.014076",26.38,163,1e-09,60.1,"phaw_30_tra_m.014076"
"184","elav","phaw_30_tra_m.014076",27.27,77,2e-05,46.6,"phaw_30_tra_m.014076"
"185","elav","phaw_30_tra_m.014076",30.77,78,2e-05,46.6,"phaw_30_tra_m.014076"
"186","elav","phaw_30_tra_m.014076",26.39,72,0.004,39.3,"phaw_30_tra_m.014076"
"187","elav","phaw_30_tra_m.012471",22.84,232,1e-09,60.5,"phaw_30_tra_m.012471"
"188","elav","phaw_30_tra_m.012471",30.08,133,4e-09,58.5,"phaw_30_tra_m.012471"
"189","elav","phaw_30_tra_m.012471",28.12,160,2e-06,50.1,"phaw_30_tra_m.012471"
"190","elav","phaw_30_tra_m.014274",31.18,93,2e-09,58.5,"phaw_30_tra_m.014274"
"191","elav","phaw_30_tra_m.014274",31.13,106,1e-08,56.2,"phaw_30_tra_m.014274"
"192","elav","phaw_30_tra_m.014274",43.08,65,6e-07,50.8,"phaw_30_tra_m.014274"
"193","elav","phaw_30_tra_m.018234",26.14,153,2e-09,59.3,"phaw_30_tra_m.018234"
"194","elav","phaw_30_tra_m.018234",32.29,96,5e-06,48.5,"phaw_30_tra_m.018234"
"195","elav","phaw_30_tra_m.018234",26.16,172,1e-05,47.4,"phaw_30_tra_m.018234"
"196","elav","phaw_30_tra_m.018234",31.88,69,8e-04,41.6,"phaw_30_tra_m.018234"
"197","elav","phaw_30_tra_m.004327",35.14,74,3e-09,58.2,"phaw_30_tra_m.004327"
"198","elav","phaw_30_tra_m.004327",30.48,105,6e-08,53.9,"phaw_30_tra_m.004327"
"199","elav","phaw_30_tra_m.004327",39.34,61,2e-06,49.3,"phaw_30_tra_m.004327"
"200","elav","phaw_30_tra_m.006381",23.83,193,4e-09,58.5,"phaw_30_tra_m.006381"
"201","elav","phaw_30_tra_m.006381",31.75,63,0.21,33.9,"phaw_30_tra_m.006381"
"202","elav","phaw_30_tra_m.006381",23.19,69,0.49,32.7,"phaw_30_tra_m.006381"
"203","elav","phaw_30_aug_m.027030",49.23,65,1e-08,53.1,"phaw_30_aug_m.027030"
"204","elav","phaw_30_aug_m.027030",34.92,63,6e-07,48.1,"phaw_30_aug_m.027030"
"205","elav","phaw_30_tra_m.023450",34.25,73,4e-08,55.5,"phaw_30_tra_m.023450"
"206","elav","phaw_30_tra_m.023450",28.09,89,2e-05,46.6,"phaw_30_tra_m.023450"
"207","elav","phaw_30_tra_m.023450",25,64,0.047,35.8,"phaw_30_tra_m.023450"
"208","elav","phaw_30_tra_m.001363",31.76,85,5e-07,51.2,"phaw_30_tra_m.001363"
"209","elav","phaw_30_tra_m.001363",24.41,127,2e-04,43.5,"phaw_30_tra_m.001363"
"210","elav","phaw_30_tra_m.001363",29.49,78,5e-04,41.6,"phaw_30_tra_m.001363"
"211","elav","phaw_30_tra_m.006374",25,160,5e-07,51.2,"phaw_30_tra_m.006374"
"212","elav","phaw_30_tra_m.006374",30.61,49,0.002,40,"phaw_30_tra_m.006374"
"213","elav","phaw_30_tra_m.006374",29.79,47,0.49,32.3,"phaw_30_tra_m.006374"
"214","elav","phaw_30_tra_m.014756",23.02,126,1e-06,50.1,"phaw_30_tra_m.014756"
"215","elav","phaw_30_tra_m.014756",28.89,90,0.006,38.5,"phaw_30_tra_m.014756"
"216","elav","phaw_30_tra_m.014756",28.75,80,0.008,38.1,"phaw_30_tra_m.014756"
"217","elav","phaw_30_tra_m.006528",24.68,154,1e-06,50.8,"phaw_30_tra_m.006528"
"218","elav","phaw_30_tra_u.014011",24.34,189,2e-06,49.7,"phaw_30_tra_u.014011"
"219","elav","phaw_30_tra_u.014011",33.33,48,0.014,37.4,"phaw_30_tra_u.014011"
"220","elav","phaw_30_tra_u.014011",35.71,56,0.19,33.9,"phaw_30_tra_u.014011"
"221","elav","phaw_30_tra_m.014276",26.5,234,3e-06,49.3,"phaw_30_tra_m.014276"
"222","elav","phaw_30_tra_m.014276",27.78,90,2e-05,47,"phaw_30_tra_m.014276"
"223","elav","phaw_30_tra_u.009652",32.22,90,4e-06,46.2,"phaw_30_tra_u.009652"
"224","elav","phaw_30_tra_u.009652",27.42,62,9e-04,38.9,"phaw_30_tra_u.009652"
"225","elav","phaw_30_tra_u.009652",34.72,72,0.001,38.1,"phaw_30_tra_u.009652"
"226","elav","phaw_30_tra_m.010269",22.96,196,4e-06,48.9,"phaw_30_tra_m.010269"
"227","elav","phaw_30_tra_m.010269",23.81,126,2e-05,47,"phaw_30_tra_m.010269"
"228","elav","phaw_30_tra_m.010269",32.26,62,0.028,36.6,"phaw_30_tra_m.010269"
"229","elav","phaw_30_tra_m.010540",33.73,83,4e-06,49.3,"phaw_30_tra_m.010540"
"230","elav","phaw_30_tra_m.010540",26.23,61,1.1,32,"phaw_30_tra_m.010540"
"231","elav","phaw_30_tra_m.000210",25.76,132,4e-06,49.3,"phaw_30_tra_m.000210"
"232","elav","phaw_30_tra_m.021087",27.47,91,6e-06,47.4,"phaw_30_tra_m.021087"
"233","elav","phaw_30_tra_m.021087",27.14,70,0.002,39.3,"phaw_30_tra_m.021087"
"234","elav","phaw_30_aug_m.028490",22.34,197,6e-06,47,"phaw_30_aug_m.028490"
"235","elav","phaw_30_aug_m.028490",24.52,155,2e-05,45.4,"phaw_30_aug_m.028490"
"236","elav","phaw_30_aug_m.028490",26.6,94,0.011,37.4,"phaw_30_aug_m.028490"
"237","elav","phaw_30_tra_m.023427",23.58,212,2e-05,46.2,"phaw_30_tra_m.023427"
"238","elav","phaw_30_tra_m.023427",28.7,108,2e-04,42.7,"phaw_30_tra_m.023427"
"239","elav","phaw_30_tra_m.023427",30.59,85,4e-04,42,"phaw_30_tra_m.023427"
"240","elav","phaw_30_tra_m.004524",28.38,74,3e-05,46.2,"phaw_30_tra_m.004524"
"241","elav","phaw_30_tra_m.004524",25,76,0.16,34.3,"phaw_30_tra_m.004524"
"242","elav","phaw_30_tra_m.004524",22.22,63,0.53,32.7,"phaw_30_tra_m.004524"
"243","elav","phaw_30_tra_m.023556",34.72,72,3e-05,45.8,"phaw_30_tra_m.023556"
"244","elav","phaw_30_tra_m.010604",37.5,64,4e-05,45.1,"phaw_30_tra_m.010604"
"245","elav","phaw_30_tra_m.010604",28.21,78,0.004,38.9,"phaw_30_tra_m.010604"
"246","elav","phaw_30_tra_m.010604",24.71,85,0.021,36.6,"phaw_30_tra_m.010604"
"247","elav","phaw_30_tra_m.000606",28.21,78,5e-05,45.1,"phaw_30_tra_m.000606"
"248","elav","phaw_30_tra_m.000606",23.67,169,4e-04,42,"phaw_30_tra_m.000606"
"249","elav","phaw_30_tra_m.000606",28.4,81,0.49,32.3,"phaw_30_tra_m.000606"
"250","elav","phaw_30_tra_m.015457",36.73,49,5e-05,45.1,"phaw_30_tra_m.015457"
"251","elav","phaw_30_tra_m.015457",31.37,51,0.51,32.3,"phaw_30_tra_m.015457"
"252","elav","phaw_30_tra_m.000049",31.91,94,7e-05,45.1,"phaw_30_tra_m.000049"
"253","elav","phaw_30_tra_m.000049",28.79,66,6e-04,42,"phaw_30_tra_m.000049"
"254","elav","phaw_30_tra_m.000049",22.86,140,0.009,38.5,"phaw_30_tra_m.000049"
"255","elav","phaw_30_tra_m.014307",18.6,172,7e-05,45.1,"phaw_30_tra_m.014307"
"256","elav","phaw_30_tra_m.014307",38.46,52,6e-04,42.4,"phaw_30_tra_m.014307"
"257","elav","phaw_30_tra_m.014307",33.33,51,0.062,35.8,"phaw_30_tra_m.014307"
"258","elav","phaw_30_tra_m.014307",21.7,106,2.4,30.4,"phaw_30_tra_m.014307"
"259","elav","phaw_30_tra_m.007535",28.77,73,7e-05,45.1,"phaw_30_tra_m.007535"
"260","elav","phaw_30_tra_m.007535",26.83,82,0.085,35.4,"phaw_30_tra_m.007535"
"261","elav","phaw_30_tra_m.019870",20.26,153,1e-04,44.3,"phaw_30_tra_m.019870"
"262","elav","phaw_30_tra_m.019870",36.54,52,3e-04,42.7,"phaw_30_tra_m.019870"
"263","elav","phaw_30_tra_m.019870",28.41,88,5e-04,42,"phaw_30_tra_m.019870"
"264","elav","phaw_30_tra_m.012459",26.04,169,2e-04,43.9,"phaw_30_tra_m.012459"
"265","elav","phaw_30_tra_m.012459",28.17,71,0.14,34.7,"phaw_30_tra_m.012459"
"266","elav","phaw_30_tra_m.014491",22.94,170,2e-04,43.1,"phaw_30_tra_m.014491"
"267","elav","phaw_30_tra_m.014491",33.33,48,0.005,38.9,"phaw_30_tra_m.014491"
"268","elav","phaw_30_tra_m.014491",25.93,81,3.9,29.6,"phaw_30_tra_m.014491"
"269","elav","phaw_30_tra_m.007428",28.77,73,2e-04,42.7,"phaw_30_tra_m.007428"
"270","elav","phaw_30_tra_m.007428",26.79,56,0.003,39.3,"phaw_30_tra_m.007428"
"271","elav","phaw_30_tra_m.007428",21.21,132,0.022,36.6,"phaw_30_tra_m.007428"
"272","elav","phaw_30_tra_m.004350",26.88,93,2e-04,42.7,"phaw_30_tra_m.004350"
"273","elav","phaw_30_tra_m.004350",27.16,81,0.22,33.5,"phaw_30_tra_m.004350"
"274","elav","phaw_30_tra_m.004350",25.4,63,2.3,30.4,"phaw_30_tra_m.004350"
"275","elav","phaw_30_tra_m.002701",32.47,77,3e-04,43.1,"phaw_30_tra_m.002701"
"276","elav","phaw_30_tra_m.004523",24.31,144,4e-04,42.7,"phaw_30_tra_m.004523"
