"","Query","Target","Percent_ID","Ali_len","E_val","bitscore","Hit_name_long"
"32","AAA59197.1_phaw_30_tra_m.006383","gi|91093345|ref|XP_967700.1|",38.46,78,2e-04,46.6,"gi|91093345|ref|XP_967700.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X13 [Tribolium castaneum]"
"33","AAA59197.1_phaw_30_tra_m.006383","gi|1008456337|ref|XP_015840209.1|",31.5,127,2e-04,46.6,"gi|1008456337|ref|XP_015840209.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X14 [Tribolium castaneum]"
"34","AAA59197.1_phaw_30_tra_m.006383","gi|642938319|ref|XP_008192842.1|",30.53,131,3e-04,45.4,"gi|642938319|ref|XP_008192842.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X15 [Tribolium castaneum]"
"35","AAA59197.1_phaw_30_tra_m.006383","gi|642938316|ref|XP_008192835.1|",31.5,127,4e-04,45.4,"gi|642938316|ref|XP_008192835.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X12 [Tribolium castaneum]"
"36","AAA59197.1_phaw_30_tra_m.006383","gi|270015222|gb|EFA11670.1|",31.5,127,4e-04,45.4,"gi|270015222|gb|EFA11670.1| Cyclic AMP response element-binding protein B-like Protein [Tribolium castaneum]"
"37","AAA59197.1_phaw_30_tra_m.006383","gi|1008456326|ref|XP_015840205.1|",31.5,127,4e-04,45.4,"gi|1008456326|ref|XP_015840205.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X8 [Tribolium castaneum]"
"38","AAA59197.1_phaw_30_tra_m.006383","gi|642938310|ref|XP_008192818.1|",31.5,127,4e-04,45.4,"gi|642938310|ref|XP_008192818.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X8 [Tribolium castaneum]"
"39","AAA59197.1_phaw_30_tra_m.006383","gi|1008456320|ref|XP_015840202.1|",31.5,127,4e-04,45.4,"gi|1008456320|ref|XP_015840202.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X5 [Tribolium castaneum]"
"40","AAA59197.1_phaw_30_tra_m.006383","gi|642938302|ref|XP_008192794.1|",31.5,127,4e-04,45.4,"gi|642938302|ref|XP_008192794.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X2 [Tribolium castaneum]"
"41","AAA59197.1_phaw_30_tra_m.006383","gi|1008456316|ref|XP_015840200.1|",31.5,127,4e-04,45.4,"gi|1008456316|ref|XP_015840200.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X3 [Tribolium castaneum]"
"42","AAA59197.1_phaw_30_tra_m.006383","gi|1008456324|ref|XP_015840204.1|",32,125,4e-04,45.4,"gi|1008456324|ref|XP_015840204.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X7 [Tribolium castaneum]"
"43","AAA59197.1_phaw_30_tra_m.006383","gi|1008456314|ref|XP_015840199.1|",31.5,127,4e-04,45.4,"gi|1008456314|ref|XP_015840199.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X1 [Tribolium castaneum]"
"44","AAA59197.1_phaw_30_tra_m.006383","gi|1008456312|ref|XP_015840198.1|",31.5,127,4e-04,45.4,"gi|1008456312|ref|XP_015840198.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X1 [Tribolium castaneum]"
"45","AAA59197.1_phaw_30_tra_m.006383","gi|1008456322|ref|XP_015840203.1|",32,125,4e-04,45.4,"gi|1008456322|ref|XP_015840203.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X6 [Tribolium castaneum]"
"46","AAA59197.1_phaw_30_tra_m.006383","gi|1008456331|ref|XP_015840207.1|",32,125,6e-04,45.1,"gi|1008456331|ref|XP_015840207.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X10 [Tribolium castaneum]"
"47","AAA59197.1_phaw_30_tra_m.006383","gi|1008456329|ref|XP_015840206.1|",32,125,6e-04,45.1,"gi|1008456329|ref|XP_015840206.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X9 [Tribolium castaneum]"
"48","AAA59197.1_phaw_30_tra_m.006383","gi|942185412|gb|JAN01735.1|",35.21,71,0.03,39.3,"gi|942185412|gb|JAN01735.1| putative Transcription factor jun-B, partial [Daphnia magna]"
"49","AAA59197.1_phaw_30_tra_m.006383","gi|442620607|ref|NP_001262865.1|",34.85,66,0.034,40,"gi|442620607|ref|NP_001262865.1| cap-n-collar, isoform P [Drosophila melanogaster]"
"50","AAA59197.1_phaw_30_tra_m.006383","gi|440217783|gb|AGB96245.1|",34.85,66,0.034,40,"gi|440217783|gb|AGB96245.1| cap-n-collar, isoform P [Drosophila melanogaster]"
"51","AAA59197.1_phaw_30_tra_m.006383","gi|24649238|ref|NP_732834.1|",34.85,66,0.035,40,"gi|24649238|ref|NP_732834.1| cap-n-collar, isoform B [Drosophila melanogaster]"
"52","AAA59197.1_phaw_30_tra_m.006383","gi|10726715|gb|AAF56109.2|",34.85,66,0.035,40,"gi|10726715|gb|AAF56109.2| cap-n-collar, isoform B [Drosophila melanogaster]"
"53","AAA59197.1_phaw_30_tra_m.006383","gi|3859887|gb|AAC72897.1|",34.85,66,0.039,40,"gi|3859887|gb|AAC72897.1| cap n collar isoform B [Drosophila melanogaster]"
"54","AAA59197.1_phaw_30_tra_m.006383","gi|3859889|gb|AAC72898.1|",34.85,66,0.039,40,"gi|3859889|gb|AAC72898.1| cap n collar isoform C [Drosophila melanogaster]"
"55","AAA59197.1_phaw_30_tra_m.006383","gi|386766311|ref|NP_001247262.1|",34.85,66,0.04,40,"gi|386766311|ref|NP_001247262.1| cap-n-collar, isoform N [Drosophila melanogaster]"
"56","AAA59197.1_phaw_30_tra_m.006383","gi|386766309|ref|NP_001247261.1|",34.85,66,0.04,40,"gi|386766309|ref|NP_001247261.1| cap-n-collar, isoform M [Drosophila melanogaster]"
"57","AAA59197.1_phaw_30_tra_m.006383","gi|386766301|ref|NP_001247258.1|",34.85,66,0.04,40,"gi|386766301|ref|NP_001247258.1| cap-n-collar, isoform I [Drosophila melanogaster]"
"58","AAA59197.1_phaw_30_tra_m.006383","gi|383292893|gb|AFH06580.1|",34.85,66,0.04,40,"gi|383292893|gb|AFH06580.1| cap-n-collar, isoform N [Drosophila melanogaster]"
"59","AAA59197.1_phaw_30_tra_m.006383","gi|383292892|gb|AFH06579.1|",34.85,66,0.04,40,"gi|383292892|gb|AFH06579.1| cap-n-collar, isoform M [Drosophila melanogaster]"
"60","AAA59197.1_phaw_30_tra_m.006383","gi|383292888|gb|AFH06576.1|",34.85,66,0.04,40,"gi|383292888|gb|AFH06576.1| cap-n-collar, isoform I [Drosophila melanogaster]"
"61","AAA59197.1_phaw_30_tra_m.006383","gi|386766305|ref|NP_001247260.1|",34.85,66,0.042,40,"gi|386766305|ref|NP_001247260.1| cap-n-collar, isoform K [Drosophila melanogaster]"
"62","AAA59197.1_phaw_30_tra_m.006383","gi|386766303|ref|NP_001247259.1|",34.85,66,0.042,40,"gi|386766303|ref|NP_001247259.1| cap-n-collar, isoform J [Drosophila melanogaster]"
"63","AAA59197.1_phaw_30_tra_m.006383","gi|383292890|gb|AFH06578.1|",34.85,66,0.042,40,"gi|383292890|gb|AFH06578.1| cap-n-collar, isoform K [Drosophila melanogaster]"
"64","AAA59197.1_phaw_30_tra_m.006383","gi|383292889|gb|AFH06577.1|",34.85,66,0.042,40,"gi|383292889|gb|AFH06577.1| cap-n-collar, isoform J [Drosophila melanogaster]"
"65","AAA59197.1_phaw_30_tra_m.006383","gi|44888973|sp|P20482.3|CNC_DROME",34.85,66,0.042,40,"gi|44888973|sp|P20482.3|CNC_DROME RecName: Full=Segmentation protein capncollar"
"66","AAA59197.1_phaw_30_tra_m.006383","gi|24649236|ref|NP_732833.1|",34.85,66,0.042,40,"gi|24649236|ref|NP_732833.1| cap-n-collar, isoform C [Drosophila melanogaster]"
"67","AAA59197.1_phaw_30_tra_m.006383","gi|23172029|gb|AAF56111.2|",34.85,66,0.042,40,"gi|23172029|gb|AAF56111.2| cap-n-collar, isoform C [Drosophila melanogaster]"
"68","AAA59197.1_phaw_30_tra_m.006383","gi|256985234|gb|ACV32772.1|",34.85,66,0.042,39.7,"gi|256985234|gb|ACV32772.1| SD04321p, partial [Drosophila melanogaster]"
"69","AAA59197.1_phaw_30_tra_m.006383","gi|442620605|ref|NP_001262864.1|",34.85,66,0.043,40,"gi|442620605|ref|NP_001262864.1| cap-n-collar, isoform O [Drosophila melanogaster]"
"70","AAA59197.1_phaw_30_tra_m.006383","gi|440217782|gb|AGB96244.1|",34.85,66,0.043,40,"gi|440217782|gb|AGB96244.1| cap-n-collar, isoform O [Drosophila melanogaster]"
"71","AAA59197.1_phaw_30_tra_m.006383","gi|941075393|gb|JAK80598.1|",37.93,58,0.043,39.7,"gi|941075393|gb|JAK80598.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"72","AAA59197.1_phaw_30_tra_m.006383","gi|1110570|gb|AAB35092.1|",32.08,106,0.046,39.3,"gi|1110570|gb|AAB35092.1| cyclic AMP-dependent protein kinase-responsive transcriptional activator and antagonist, partial [Drosophila melanogaster]"
"73","AAA59197.1_phaw_30_tra_m.006383","gi|941191073|gb|JAL20430.1|",37.93,58,0.048,39.3,"gi|941191073|gb|JAL20430.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"74","AAA59197.1_phaw_30_tra_m.006383","gi|941090825|gb|JAK86593.1|",37.93,58,0.048,39.3,"gi|941090825|gb|JAK86593.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"75","AAA59197.1_phaw_30_tra_m.006383","gi|940979907|gb|JAK44754.1|",37.93,58,0.048,39.3,"gi|940979907|gb|JAK44754.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"76","AAA59197.1_phaw_30_tra_m.006383","gi|940876921|gb|JAJ98523.1|",37.93,58,0.048,39.3,"gi|940876921|gb|JAJ98523.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"77","AAA59197.1_phaw_30_tra_m.006383","gi|91085771|ref|XP_974257.1|",33.87,62,0.048,39.3,"gi|91085771|ref|XP_974257.1| PREDICTED: cyclic AMP-dependent transcription factor ATF-7 [Tribolium castaneum]"
"78","AAA59197.1_phaw_30_tra_m.006383","gi|386766307|ref|NP_732838.2|",34.85,66,0.048,39.7,"gi|386766307|ref|NP_732838.2| cap-n-collar, isoform L [Drosophila melanogaster]"
"79","AAA59197.1_phaw_30_tra_m.006383","gi|383292891|gb|AAN13933.2|",34.85,66,0.048,39.7,"gi|383292891|gb|AAN13933.2| cap-n-collar, isoform L [Drosophila melanogaster]"
"80","AAA59197.1_phaw_30_tra_m.006383","gi|1004403478|gb|KYB29600.1|",29.41,68,0.049,39.7,"gi|1004403478|gb|KYB29600.1| Segmentation protein capncollar-like Protein [Tribolium castaneum]"
"81","AAA59197.1_phaw_30_tra_m.006383","gi|941736043|gb|JAM61758.1|",37.93,58,0.05,39.3,"gi|941736043|gb|JAM61758.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"82","AAA59197.1_phaw_30_tra_m.006383","gi|939799885|gb|JAJ00356.1|",37.93,58,0.05,39.3,"gi|939799885|gb|JAJ00356.1| Cyclic AMP-responsive element-binding protein [Daphnia_magna]"
"83","AAA59197.1_phaw_30_tra_m.006383","gi|942402779|gb|JAN83319.1|",37.93,58,0.051,39.3,"gi|942402779|gb|JAN83319.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"84","AAA59197.1_phaw_30_tra_m.006383","gi|939850228|gb|JAJ25509.1|",37.93,58,0.051,39.3,"gi|939850228|gb|JAJ25509.1| Cyclic AMP-responsive element-binding protein [Daphnia_magna]"
"85","AAA59197.1_phaw_30_tra_m.006383","gi|347963430|ref|XP_566152.4|",35.82,67,0.051,39.3,"gi|347963430|ref|XP_566152.4| AGAP000237-PA [Anopheles gambiae str. PEST]"
"86","AAA59197.1_phaw_30_tra_m.006383","gi|333467203|gb|EAL41250.4|",35.82,67,0.051,39.3,"gi|333467203|gb|EAL41250.4| AGAP000237-PA [Anopheles gambiae str. PEST]"
"87","AAA59197.1_phaw_30_tra_m.006383","gi|1022765278|gb|KZS10527.1|",37.93,58,0.053,39.3,"gi|1022765278|gb|KZS10527.1| Cyclic-AMP response element binding protein B AT 17A [Daphnia magna]"
"88","AAA59197.1_phaw_30_tra_m.006383","gi|941534284|gb|JAL71174.1|",37.93,58,0.053,39.3,"gi|941534284|gb|JAL71174.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"89","AAA59197.1_phaw_30_tra_m.006383","gi|942051696|gb|JAM80986.1|",37.93,58,0.054,39.3,"gi|942051696|gb|JAM80986.1| Cyclic AMP-responsive element-binding protein [Daphnia magna]"
"90","AAA59197.1_phaw_30_tra_m.006383","gi|321457103|gb|EFX68196.1|",37.93,58,0.057,39.3,"gi|321457103|gb|EFX68196.1| hypothetical protein DAPPUDRAFT_330320 [Daphnia pulex]"
"91","AAA59197.1_phaw_30_tra_m.006383","gi|347965969|ref|XP_321663.4|",33.85,65,0.059,39.3,"gi|347965969|ref|XP_321663.4| AGAP001464-PA [Anopheles gambiae str. PEST]"
"92","AAA59197.1_phaw_30_tra_m.006383","gi|333470270|gb|EAA01352.5|",33.85,65,0.059,39.3,"gi|333470270|gb|EAA01352.5| AGAP001464-PA [Anopheles gambiae str. PEST]"
"93","AAA59197.1_phaw_30_tra_m.006383","gi|347965971|ref|XP_003435846.1|",33.85,65,0.06,39.3,"gi|347965971|ref|XP_003435846.1| AGAP001464-PB [Anopheles gambiae str. PEST]"
"94","AAA59197.1_phaw_30_tra_m.006383","gi|333470271|gb|EGK97567.1|",33.85,65,0.06,39.3,"gi|333470271|gb|EGK97567.1| AGAP001464-PB [Anopheles gambiae str. PEST]"
"95","AAA59197.1_phaw_30_tra_m.006383","gi|282165741|ref|NP_001164113.1|",29.41,68,0.062,39.3,"gi|282165741|ref|NP_001164113.1| cap-n-collar [Tribolium castaneum]"
"96","AAA59197.1_phaw_30_tra_m.006383","gi|1004403476|gb|KYB29598.1|",29.41,68,0.063,39.3,"gi|1004403476|gb|KYB29598.1| Segmentation protein capncollar-like Protein [Tribolium castaneum]"
"97","AAA59197.1_phaw_30_tra_m.006383","gi|642910587|ref|XP_008200015.1|",29.41,68,0.063,39.3,"gi|642910587|ref|XP_008200015.1| PREDICTED: cap-n-collar isoform X6 [Tribolium castaneum]"
"98","AAA59197.1_phaw_30_tra_m.006383","gi|642910583|ref|XP_008200013.1|",29.41,68,0.065,39.3,"gi|642910583|ref|XP_008200013.1| PREDICTED: cap-n-collar isoform X4 [Tribolium castaneum]"
"99","AAA59197.1_phaw_30_tra_m.006383","gi|642910579|ref|XP_008200011.1|",29.41,68,0.066,39.3,"gi|642910579|ref|XP_008200011.1| PREDICTED: cap-n-collar isoform X2 [Tribolium castaneum]"
"100","AAA59197.1_phaw_30_tra_m.006383","gi|642910577|ref|XP_008200010.1|",29.41,68,0.066,39.3,"gi|642910577|ref|XP_008200010.1| PREDICTED: cap-n-collar isoform X1 [Tribolium castaneum]"
"101","AAA59197.1_phaw_30_tra_m.006383","gi|642910585|ref|XP_008200014.1|",29.41,68,0.066,39.3,"gi|642910585|ref|XP_008200014.1| PREDICTED: cap-n-collar isoform X5 [Tribolium castaneum]"
"102","AAA59197.1_phaw_30_tra_m.006383","gi|642910581|ref|XP_008200012.1|",29.41,68,0.066,39.3,"gi|642910581|ref|XP_008200012.1| PREDICTED: cap-n-collar isoform X3 [Tribolium castaneum]"
"103","AAA59197.1_phaw_30_tra_m.006383","gi|1022774494|gb|KZS18476.1|",37.74,53,0.08,38.5,"gi|1022774494|gb|KZS18476.1| Basic leucine zipper transcriptional factor ATF-like 3 [Daphnia magna]"
"104","AAA59197.1_phaw_30_tra_m.006383","gi|386766299|ref|NP_001247257.1|",34.85,66,0.082,38.9,"gi|386766299|ref|NP_001247257.1| cap-n-collar, isoform H [Drosophila melanogaster]"
"105","AAA59197.1_phaw_30_tra_m.006383","gi|386766291|ref|NP_001247256.1|",34.85,66,0.082,38.9,"gi|386766291|ref|NP_001247256.1| cap-n-collar, isoform F [Drosophila melanogaster]"
"106","AAA59197.1_phaw_30_tra_m.006383","gi|383292887|gb|AFH06575.1|",34.85,66,0.082,38.9,"gi|383292887|gb|AFH06575.1| cap-n-collar, isoform H [Drosophila melanogaster]"
"107","AAA59197.1_phaw_30_tra_m.006383","gi|383292886|gb|AFH06574.1|",34.85,66,0.082,38.9,"gi|383292886|gb|AFH06574.1| cap-n-collar, isoform F [Drosophila melanogaster]"
"108","AAA59197.1_phaw_30_tra_m.006383","gi|24649248|ref|NP_732839.1|",34.85,66,0.082,38.9,"gi|24649248|ref|NP_732839.1| cap-n-collar, isoform G [Drosophila melanogaster]"
"109","AAA59197.1_phaw_30_tra_m.006383","gi|24649244|ref|NP_732837.1|",34.85,66,0.082,38.9,"gi|24649244|ref|NP_732837.1| cap-n-collar, isoform E [Drosophila melanogaster]"
"110","AAA59197.1_phaw_30_tra_m.006383","gi|24649242|ref|NP_732836.1|",34.85,66,0.082,38.9,"gi|24649242|ref|NP_732836.1| cap-n-collar, isoform D [Drosophila melanogaster]"
"111","AAA59197.1_phaw_30_tra_m.006383","gi|24649240|ref|NP_732835.1|",34.85,66,0.082,38.9,"gi|24649240|ref|NP_732835.1| cap-n-collar, isoform A [Drosophila melanogaster]"
"112","AAA59197.1_phaw_30_tra_m.006383","gi|23172032|gb|AAN13932.1|",34.85,66,0.082,38.9,"gi|23172032|gb|AAN13932.1| cap-n-collar, isoform E [Drosophila melanogaster]"
"113","AAA59197.1_phaw_30_tra_m.006383","gi|23172031|gb|AAN13931.1|",34.85,66,0.082,38.9,"gi|23172031|gb|AAN13931.1| cap-n-collar, isoform D [Drosophila melanogaster]"
"114","AAA59197.1_phaw_30_tra_m.006383","gi|23172030|gb|AAN13930.1|",34.85,66,0.082,38.9,"gi|23172030|gb|AAN13930.1| cap-n-collar, isoform A [Drosophila melanogaster]"
"115","AAA59197.1_phaw_30_tra_m.006383","gi|16768966|gb|AAL28702.1|",34.85,66,0.082,38.9,"gi|16768966|gb|AAL28702.1| LD12407p [Drosophila melanogaster]"
"116","AAA59197.1_phaw_30_tra_m.006383","gi|7300970|gb|AAF56108.1|",34.85,66,0.082,38.9,"gi|7300970|gb|AAF56108.1| cap-n-collar, isoform G [Drosophila melanogaster]"
"117","AAA59197.1_phaw_30_tra_m.006383","gi|157074|gb|AAB59246.1|",34.85,66,0.083,38.9,"gi|157074|gb|AAB59246.1| segmentation protein [Drosophila melanogaster]"
"118","AAA59197.1_phaw_30_tra_m.006383","gi|3859885|gb|AAC72896.1|",34.85,66,0.084,38.9,"gi|3859885|gb|AAC72896.1| cap n collar isoform A [Drosophila melanogaster]"
"119","AAA59197.1_phaw_30_tra_m.006383","gi|442616830|ref|NP_001259677.1|",37.5,64,0.085,38.5,"gi|442616830|ref|NP_001259677.1| Cyclic-AMP response element binding protein B, isoform N [Drosophila melanogaster]"
"120","AAA59197.1_phaw_30_tra_m.006383","gi|440216909|gb|AGB95519.1|",37.5,64,0.085,38.5,"gi|440216909|gb|AGB95519.1| Cyclic-AMP response element binding protein B, isoform N [Drosophila melanogaster]"
"121","AAA59197.1_phaw_30_tra_m.006383","gi|161077928|ref|NP_001097017.1|",37.5,64,0.085,38.5,"gi|161077928|ref|NP_001097017.1| Cyclic-AMP response element binding protein B, isoform I [Drosophila melanogaster]"
"122","AAA59197.1_phaw_30_tra_m.006383","gi|161077922|ref|NP_996506.2|",37.5,64,0.085,38.5,"gi|161077922|ref|NP_996506.2| Cyclic-AMP response element binding protein B, isoform G [Drosophila melanogaster]"
"123","AAA59197.1_phaw_30_tra_m.006383","gi|158031861|gb|ABW09446.1|",37.5,64,0.085,38.5,"gi|158031861|gb|ABW09446.1| Cyclic-AMP response element binding protein B, isoform I [Drosophila melanogaster]"
"124","AAA59197.1_phaw_30_tra_m.006383","gi|158031859|gb|AAS65403.2|",37.5,64,0.085,38.5,"gi|158031859|gb|AAS65403.2| Cyclic-AMP response element binding protein B, isoform G [Drosophila melanogaster]"
"125","AAA59197.1_phaw_30_tra_m.006383","gi|321473895|gb|EFX84861.1|",37.74,53,0.088,38.5,"gi|321473895|gb|EFX84861.1| hypothetical protein DAPPUDRAFT_222762 [Daphnia pulex]"
"126","AAA59197.1_phaw_30_tra_m.006383","gi|942064972|gb|JAM82039.1|",37.74,53,0.093,38.5,"gi|942064972|gb|JAM82039.1| Cyclic AMP-dependent transcription factor ATF-3 [Daphnia magna]"
"127","AAA59197.1_phaw_30_tra_m.006383","gi|1004398625|gb|KYB26785.1|",33.33,54,0.095,37,"gi|1004398625|gb|KYB26785.1| hypothetical protein TcasGA2_TC033546 [Tribolium castaneum]"
"128","AAA59197.1_phaw_30_tra_m.006383","gi|190684762|gb|ACE82592.1|",37.5,64,0.1,38.1,"gi|190684762|gb|ACE82592.1| RT01110p, partial [Drosophila melanogaster]"
"129","AAA59197.1_phaw_30_tra_m.006383","gi|940887605|gb|JAK03866.1|",37.74,53,0.1,38.1,"gi|940887605|gb|JAK03866.1| Cyclic AMP-dependent transcription factor ATF-3, partial [Daphnia magna]"
